Frage;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort;Schierigkeitsgrad;
1/4 ist ...?;scheck Betrug;dieb Stahl;bank Raub;ein Bruch;4;1;
Welchen Warnhinweis sieht man häufig im Alltag?;Brecht abgesagt!;Grass entfällt!;Frisch gestrichen!;Böll findet nicht statt!;3;2;
Was ist "der Frau" und "der Tochter"?;Genitiv;Konjunktiv;Höflichkeitsform;Transsexualität;1;4;
Wenn man eins von zwei Löchern im Reifen flickt, dann wird er ...?;sänger;maler;bildhauer;dichter;4;3;
Was dient nicht zur Verhütung?;Pille;Kondom;Coitus interruptus;Glücksspirale;4;3;
Wobei handelt es sich um ein beliebtes Getränk an kalten Tagen?;bin die Banane;nennt mich Kirsche;heiße Zitrone;call me strawberry;3;5;
Was kommt in Ostasien häufig auf den Tisch?;Sonicht;Sovielleicht;Soschoneher;Soja;4;3;
Die Dinosaurier lebten ...?;auf Pump;mit Schulden;in der Kreide;knietief im Dispo;3;2;
Scotty, der Ingenieur des Raumschiffs Enterprise, war bei den "Ausflügen" meist nicht dabei, weil er ...?;selbstständige;angestellte;vorgesetzte;beamte;4;4;
Wofür gibt es einen Oscar?;Toller Chirurg;Fabelhafte OP;Bester Schnitt;Exquisites Skalpell;3;1;
Eines muss man den Karibikbewohnern wirklich lassen: Sie können gut ...?;flirten;anbaggern;Bräute aufreißen;Rum machen;4;1;
Was ist als Anrede für eines der begehrtesten Models der Welt vollkommen angemessen?;Tachalte;Eytante;Himutti;Naomi;4;2;
Was "denkt" die Schwarze Witwe nach dem Paarungsakt über ihr Spinnenmännchen?;Igitt, so behaart!;Wie süß er schläft!;Lecker!;Manni war besser!;3;5;
Peter Kreuder komponierte 1936 den Schlager "Ich wollt' ich wär' ein ..."?;Hund;Huhn;Hummer;Huflattich;2;1;
Wobei handelt es sich um ein Notsignal im internationalen Funkverkehr?;Mayday;Down Town;Jetset;Flower Power;1;2;
Wie heißt - laut einem Märchen der Brüder Grimm - die Schwester von Schneeweißchen?;Fliederlila;Maisgelb;Rosenrot;Kornblumenblau;3;3;
Wer hat von Berufs wegen mit dem Spritzenhaus zu tun?;Gärtner;Krankenschwester;Feuerwehrmann;Konditor;3;4;
Was ist die Amtssprache von Mexiko?;Portugiesisch;Englisch;Französisch;Spanisch;4;5;
Unter welchem Namen sangen Wigald Boning und Olli Dittrich "Lieder, die die Welt nicht braucht"?;Die Behämmerten;Die Abgedrehten;Die Doofen;Die Irren;3;6;
Was ist ein Rebus?;Kreditinstitut;Werkzeug;Weinstock;Bilderrätsel;4;7;
Wie nennt man von Gletschern transportierten Gesteinsschutt?;Moräne;Muräne;Morelle;Murnau;1;8;
Welches deutsche Fürstenhaus organisierte bis ins 19. Jahrhundert die kaiserliche Reichspost?;Fürstenberg;Schaumburg-Lippe;Hohenlohe;Thurn und Taxis;4;9;
Wobei handelt es sich nicht um ein Insekt?;Stechmücke;Wintermücke;Grasmücke;Kriebelmücke;3;10;
Wie heißt das traditionelle Pferderennen in Siena?;Calcio;Palio;Barolo;Boccia;2;11;
Was ist nach Mahón, dem Hauptort der Insel Menorca, benannt?;Marone;Mahagoni;Marihuana;Mayonnaise;4;12;
Welcher deutsche Boxer schlug im Juni 1952 den Ringrichter Max Pippow zu Boden?;Peter Müller;Eckhard Dagge;Bubi Scholz;Max Schmeling;1;13;
Wo befindet sich der Hauptsitz der UNESCO?;Brüssel;Paris;London;Helsinki;2;14;
Mit wem stand Edmund Hillary 1953 auf dem Gipfel des Mount Everest?;Nasreddin Hodscha;Nursay Pimsorn;Tenzing Norgay;Abrindranath Singh;3;15;
